shopitem_2_photo_ass_kneel_worship_	30	Ass to die for
shopitem_3_photo_legs_chastity_lingerie_addiction_heels_	50	Count the days
shopitem_4_photo_ass_nude_humiliation_joi_addiction_	40	Pray for release
shopitem_5_photo_feet_boobs_joi_cei_	45	Eat your cum and thank me
shopitem_6_photo_atm_legs_heels_	60	Shopping Spree
shopitem_7_video_ass_hypno_legs_drain_lingerie_addiction_kneel_worship_praise_heels_	120	Good Boy Training
shopitem_8_video_hypno_atm_drain_addiction_worship_	120	Fall deeper under my spell
shopitem_9_video_hypno_boobs_joi_kneel_	120	Your new purpose
shopitem_10_video_hypno_drain_heels_	200	Give in to My Devastating Beauty
shopitem_11_video_ass_hypno_chastity_humiliation_joi_addiction_	120	Leave your GF
shopitem_12_video_atm_joi_drain_addiction_Brat_	120	Buy Me Stuff, Keep Me Happy
shopitem_13_video_	120	Advice from a Financial Advisor
shopitem_14_video_ass_boobs_Brat_	120	Pay Off My Student Debt
shopitem_15_video_legs_praise_	120	Making Me Happy Makes You Hard
shopitem_16_video_ass_nude_hypno_atm_addiction_worship_	120	Goddess of Love
shopitem_17_video_hypno_drain_addiction_	120	Embrace Your Addiction
shopitem_18_video_hypno_humiliation_Brat_	120	Job Interview Switcheroo
shopitem_19_video_ass_nude_feet_boobs_joi_	120	The Joy of Joi
shopitem_20_video_hypno_feet_praise_heels_	120	You need My Praise
shopitem_21_video_chastity_humiliation_joi_addiction_	120	You don't need Sex, You have Me
shopitem_22_video_hypno_atm_lingerie_heels_Brat_	120	Stop Spending on You
shop_item_101_photo_	0	(No Description)
shop_item_102_photo_	0	(No Description)
shop_item_103_photo_	0	(No Description)
shop_item_104_photo_	0	(No Description)
shop_item_105_photo_	0	(No Description)
shop_item_106_photo_	0	(No Description)
shop_item_107_photo_	0	(No Description)
shop_item_108_photo_	0	(No Description)
shop_item_109_photo_	0	(No Description)
shop_item_110_photo_	0	(No Description)
shop_item_111_photo_	0	(No Description)
shop_item_112_photo_	0	(No Description)
shop_item_113_photo_	0	(No Description)
shop_item_114_photo_	0	(No Description)
shop_item_115_photo_	0	(No Description)
shop_item_116_photo_	0	(No Description)
shop_item_117_photo_	0	(No Description)
shop_item_118_photo_	0	(No Description)
shop_item_119_photo_	0	(No Description)
shop_item_120_photo_	0	(No Description)
shop_item_121_photo_	0	(No Description)
shop_item_122_photo_	0	(No Description)
shop_item_123_photo_	0	(No Description)
shop_item_124_photo_	0	(No Description)
shop_item_125_photo_	0	(No Description)
shop_item_126_photo_	0	(No Description)
shop_item_127_photo_	0	(No Description)
shop_item_128_photo_	0	(No Description)
shop_item_129_photo_	0	(No Description)
shop_item_130_photo_	0	(No Description)
shop_item_131_photo_	0	(No Description)
shop_item_132_photo_	0	(No Description)
shop_item_133_photo_	0	(No Description)
shop_item_134_photo_	0	(No Description)
shop_item_135_photo_	0	(No Description)
shop_item_136_photo_	0	(No Description)
shop_item_137_photo_	0	(No Description)
shop_item_138_photo_	0	(No Description)
shop_item_139_photo_	0	(No Description)
shop_item_140_photo_	0	(No Description)
shop_item_141_photo_	0	(No Description)
shop_item_142_photo_	0	(No Description)
shop_item_143_photo_	0	(No Description)
shop_item_144_photo_	0	(No Description)
shop_item_145_photo_	0	(No Description)
shop_item_146_photo_	0	(No Description)
shop_item_147_photo_	0	(No Description)
shop_item_148_photo_	0	(No Description)
shop_item_149_photo_	0	(No Description)
shop_item_150_photo_	0	(No Description)

